Treebank,Encoding,Language Model,In training data,Random,Task,UAS,LAS,CLAS,MLAS,BLEX,POS,1-deptag,Arc,1-plane,2-plane,Deprel
UD_Basque-BDT,relative,xlm-roberta-base,True,False,multi,41.03,31.6,28.64,3.72,0.0,85.87,nan,46.13,nan,nan,73.24
UD_Bhojpuri-BHTB,relative,xlm-roberta-base,False,True,multi,30.14,19.91,11.79,0.22,0.0,51.29,nan,40.2,nan,nan,47.9
UD_Basque-BDT,absolute,xlm-roberta-base,True,False,single,7.53,3.81,3.05,0.29,0.0,85.89,23.06,nan,nan,nan,nan
UD_Bhojpuri-BHTB,absolute,xlm-roberta-base,False,True,multi,1.33,0.59,0.36,0.0,0.0,48.09,nan,19.98,nan,nan,45.46
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,single,16.08,13.37,0.39,0.0,0.0,57.74,33.41,nan,nan,nan,nan
UD_Basque-BDT,absolute,xlm-roberta-base,True,False,multi,33.77,27.02,21.8,2.94,0.01,85.78,nan,27.78,nan,nan,73.19
UD_Bhojpuri-BHTB,relative,bert-base-multilingual-cased,False,False,single,35.2,26.14,16.74,0.23,0.0,57.74,34.23,nan,nan,nan,nan
UD_Kiche-IU,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,multi,52.75,38.51,25.21,5.22,0.0,74.57,nan,nan,63.84,99.69,67.13
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,multi,15.6,13.84,0.53,0.0,0.0,58.27,nan,nan,45.55,98.42,51.63
UD_Bhojpuri-BHTB,absolute,bert-base-multilingual-cased,False,False,single,2.61,0.59,0.36,0.0,0.0,57.93,16.06,nan,nan,nan,nan
UD_Kiche-IU,relative,bert-base-multilingual-cased,False,True,multi,45.52,33.67,26.3,6.8,0.0,74.16,nan,57.94,nan,nan,67.49
UD_Bhojpuri-BHTB,relative,bert-base-multilingual-cased,False,False,multi,34.82,25.83,14.48,0.3,0.0,57.46,nan,44.5,nan,nan,52.2
UD_Kiche-IU,absolute,bert-base-multilingual-cased,False,True,multi,32.4,23.56,22.04,2.77,0.0,73.54,nan,49.41,nan,nan,67.26
UD_Bhojpuri-BHTB,absolute,bert-base-multilingual-cased,False,False,multi,1.33,0.85,0.37,0.0,0.0,55.93,nan,19.31,nan,nan,50.72
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,xlm-roberta-base,False,False,single,22.58,2.88,2.72,0.21,0.0,36.85,15.3,nan,nan,nan,nan
UD_Kiche-IU,2-planar-brackets-greedy,xlm-roberta-base,False,True,multi,51.67,36.35,23.85,5.03,0.0,73.62,nan,nan,63.0,99.69,65.5
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,xlm-roberta-base,False,False,multi,7.14,6.28,0.57,0.0,0.0,29.88,nan,nan,32.89,88.77,42.45
UD_Kiche-IU,relative,xlm-roberta-base,False,True,multi,44.9,33.21,25.49,6.82,0.0,73.65,nan,56.44,nan,nan,65.7
UD_Bhojpuri-BHTB,relative,xlm-roberta-base,False,False,single,24.65,14.91,5.96,0.07,0.0,41.78,14.58,nan,nan,nan,nan
UD_Bhojpuri-BHTB,relative,xlm-roberta-base,False,False,multi,22.15,9.42,0.14,0.07,0.0,41.2,nan,27.82,nan,nan,30.26
UD_Kiche-IU,absolute,xlm-roberta-base,False,True,multi,32.23,22.51,20.74,2.44,0.0,73.47,nan,48.21,nan,nan,65.3
UD_Bhojpuri-BHTB,absolute,xlm-roberta-base,False,False,single,1.33,0.27,0.32,0.0,0.0,42.5,1.24,nan,nan,nan,nan
UD_Kiche-IU,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,single,53.89,38.12,27.79,6.18,0.0,78.04,53.42,nan,nan,nan,nan
UD_Bhojpuri-BHTB,absolute,xlm-roberta-base,False,False,multi,1.33,0.85,0.41,0.0,0.0,29.64,nan,8.32,nan,nan,42.5
UD_Kiche-IU,relative,bert-base-multilingual-cased,False,False,single,46.01,33.97,28.08,7.43,0.0,78.35,49.82,nan,nan,nan,nan
UD_Kiche-IU,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,multi,56.77,40.61,28.32,6.47,0.0,78.55,nan,nan,62.92,99.64,68.95
UD_Kiche-IU,absolute,bert-base-multilingual-cased,False,False,single,34.85,21.99,17.3,1.2,0.0,78.19,44.99,nan,nan,nan,nan
UD_Kiche-IU,relative,bert-base-multilingual-cased,False,False,multi,46.73,33.25,26.11,6.83,0.0,78.47,nan,59.45,nan,nan,68.74
UD_Kiche-IU,absolute,bert-base-multilingual-cased,False,False,multi,38.58,26.24,24.2,2.48,0.0,77.63,nan,49.59,nan,nan,68.44
UD_Kiche-IU,2-planar-brackets-greedy,xlm-roberta-base,False,False,single,31.41,17.21,14.73,0.12,0.0,64.27,41.7,nan,nan,nan,nan
UD_Kiche-IU,2-planar-brackets-greedy,xlm-roberta-base,False,False,multi,40.87,23.27,14.52,0.9,0.0,65.32,nan,nan,53.7,99.74,57.58
UD_Kiche-IU,relative,xlm-roberta-base,False,False,single,36.78,21.11,19.89,3.17,0.0,64.79,39.81,nan,nan,nan,nan
UD_Kiche-IU,relative,xlm-roberta-base,False,False,multi,37.3,21.83,15.91,2.4,0.0,64.86,nan,54.65,nan,nan,56.84
UD_Kiche-IU,absolute,xlm-roberta-base,False,False,single,26.77,14.82,10.48,0.19,0.0,65.47,39.12,nan,nan,nan,nan
UD_Kiche-IU,absolute,xlm-roberta-base,False,False,multi,32.56,18.55,14.73,0.62,0.0,64.48,nan,47.01,nan,nan,57.28
